,Job Title,Rating,Industry,Sector,Ownership,Avg_Sal,State,Git_job,Python_job,C_job,SQL_job,Rank
32,Software Engineer,3.7,Computer Hardware & Software,Information Technology,Private,75.0,GA,0,0,1,0,Intermediate
33,Software Engineer,3.6,Banks & Credit Unions,Finance,Public,60.0,AL,0,0,1,1,Intermediate
34,Software Engineer,4.0,Financial Transaction Processing,Finance,Private,82.5,FL,1,1,0,1,Intermediate
35,Senior Software Engineer,3.8,Computer Hardware & Software,Information Technology,Subsidiary or Business Segment,136.0,CA,1,1,0,1,Senior
36,Software Engineer,3.4,Computer Hardware & Software,Information Technology,Private,61.5,TX,1,0,1,0,Intermediate
37,Software Engineer,4.1,Energy,"Oil, Gas, Energy & Utilities",Government,84.0,WA,0,1,0,1,Intermediate
38,Systems Engineer,3.2,-1,-1,Private,99.0,AL,1,0,0,0,Intermediate
39,"Software Engineer, Navigation",3.6,Computer Hardware & Software,Information Technology,Private,83.0,CA,0,1,1,0,Intermediate
40,Software Engineer,3.3,Computer Hardware & Software,Information Technology,Private,73.0,OR,0,0,1,1,Intermediate
41,Software Engineer,3.5,Health Care Products Manufacturing,Manufacturing,Public,95.5,CA,1,0,1,0,Intermediate
42,Software Engineer,2.9,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Private,69.5,MA,0,0,1,0,Intermediate
43,Senior Software Engineer,4.1,Architectural & Engineering Services,Business Services,Private,86.5,FL,1,1,1,0,Senior
44,Software Engineer - Applications,4.1,Utilities,"Oil, Gas, Energy & Utilities",Subsidiary or Business Segment,65.5,AL,1,0,1,0,Intermediate
45,Software Engineer II,3.3,Insurance Carriers,Insurance,Public,58.5,KS,1,0,1,1,Intermediate
46,Senior Software Engineer,2.8,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Public,94.5,MD,1,1,0,1,Senior
47,Software Engineer,3.9,Real Estate,Real Estate,Public,57.5,UT,1,0,0,1,Intermediate
48,Junior Software Engineer,3.6,Aerospace & Defense,Aerospace & Defense,Subsidiary or Business Segment,58.0,IN,0,0,1,1,Junior
49,Software Development Engineer,4.3,Enterprise Software & Network Solutions,Information Technology,Private,78.0,NC,1,0,1,1,Intermediate
50,Software Engineer,4.6,Enterprise Software & Network Solutions,Information Technology,Private,95.0,IL,0,0,0,0,Intermediate
51,Software Engineer - Salesforce.com,4.9,IT Services,Information Technology,Private,70.0,IL,0,0,0,0,Intermediate
52,Lead Scheduling Engineer,3.0,Construction,"Construction, Repair & Maintenance",Private,75.5,MA,0,0,0,0,Senior
53,LIMS Application Developer,3.1,Computer Hardware & Software,Information Technology,Private,53.5,KS,0,0,1,1,Intermediate
54,Software Engineer Backend,3.6,Automotive Parts & Accessories Stores,Retail,Private,59.5,FL,1,0,0,0,Intermediate
55,Software Engineer,3.7,IT Services,Information Technology,Private,89.5,MD,0,0,0,0,Intermediate
56,IT Network and System Engineer,2.7,Trucking,Transportation & Logistics,Public,53.0,ND,1,0,0,1,Intermediate
57,Software Engineer,2.1,K-12 Education,Education,Private,69.5,MN,1,0,1,1,Intermediate
58,Systems Engineer,2.9,Consulting,Business Services,Private,51.0,VA,0,0,0,1,Intermediate
59,Software Engineer,4.9,Consulting,Business Services,Private,84.0,PA,0,0,0,0,Intermediate
60,Software Developer,4.4,Banks & Credit Unions,Finance,Private,56.0,MD,0,0,1,1,Intermediate
61,Software Engineer,3.2,Health Care Services & Hospitals,Health Care,Private,71.5,MO,0,0,1,1,Intermediate
62,Senior Software Engineer,3.4,Other Retail Stores,Retail,Private,89.0,WI,1,0,1,1,Senior
63,Software Engineer,4.5,Metals Brokers,Mining & Metals,Subsidiary or Business Segment,71.5,OH,0,0,1,1,Intermediate
64,Software Engineer,4.0,Banks & Credit Unions,Finance,Public,105.0,VA,1,1,0,0,Intermediate
65,Software Engineer,3.6,Aerospace & Defense,Aerospace & Defense,Private,95.0,MD,0,0,0,1,Intermediate
66,Senior Software Engineer,3.4,Other Retail Stores,Retail,Private,89.0,WI,1,0,1,1,Senior
67,Software Engineer,4.5,Metals Brokers,Mining & Metals,Subsidiary or Business Segment,71.5,OH,0,0,1,1,Intermediate
68,Software Engineer,4.2,Colleges & Universities,Education,College / University,74.5,MD,0,0,1,1,Intermediate
